name,year_start,year_end,position,height,weight,birth_date,college
Don Ackerman,1950,1957,G,6-0,183,"September 4, 1930",Long Island University
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University
